group,link,title,element1,element2,desc,label,role,cover
stories,https://fms.news.cn/swf/2018_sjxw/quansongci/index.html#/,宋词缱绻，何处画人间,,,,"infographics,culture","planner,writer,designer,developer(second)",img/sciqqinter.gif
stories,,马航MH370：等你的1728天,"A creative infographic summarizing the missing plane MH370, including the timeline, locations, and plane structure.
<br/><img src='works/MH370.jpg' /> ",,,infographics,Designer,img/MH370.png
stories,,音曲繁美：流行音乐的百年分化与融合,"Originally an interactive page visualizing how ten main popular music genres have been evovling over the last 100 years. The page was withdrawn due to Xinhua's publication policy.
<br/><img src='works/lxyy.png' /> ",,,"interactive,culture","planner,writer,designer,developer(second)",img/lxyy.png
stories,,隐藏的运动场：8小时外健身休闲，如何说走就走,"Originally a static page visulizing the distribution of the public recreation places in Beijing. The project was withdrawn due to Xinhua's publication policy.
<br/><img src='works/tyss17.jpg' /> ",,,"interactive,society","planner,writer,designer,developer(second)",img/tyss17.png
stories,,原创综艺的春天还有多远,"The project is originally an interactive page exploring the features of China's reality shows and why most of them are not original. The project was withdrawn due to Xinhua's publication policy.
<br/><img src='works/yczy.png' /> ",,,"interactive,society",Designer,img/yczy.png
stories,,世界大港建成记：洋山港的建设历程,"A creative infographic illustrating the construction of the Yangshan Port.
<br/><img src='works/ysg.jpg' /> ",,,"infographics,science",Illustrator,img/ysg.png
stories,,Chart collector,<img src='works/dummy_mp.png' /> ,<img src='works/dummy_mp.png' /> ,,"interactive,science,sports","planner,writer,designer",img/olymbd.png
stories,,Model collector,"<img src='works/haiou.png' /> 
<br/>University souvenir watches","<img src='works/robot.png' /> 
<br/>Tower-climbing robot for the wind turbine tower maintenance",,"infographics,science,3D",3Dmodeler,img/robt.jpg
articles,https://www.phei.com.cn/module/goods/wssd_content.jsp?bookid=63275,"Bremer, N., & Wu, S. (2021). Data Sketches: A journey of imagination, exploration, and beautiful data visualizations.",,,Lorem ipsum dolor sit amet,,,articles/ds.png
articles,https://scholarship.miami.edu/esploro/outputs/doctoral/Decisions-in-News-Visualization--How/991031788917602976,Decisions in News Visualization: How News Visualization Teams Employ a Shared Mental Model,,,"This study aims to investigate the shared mindsets a team of professionals relies on to make collaborative production decisions, i.e., the shared mental model guiding professionals' news visualization production. A shared mental model is the shared cognitive structure held by all individual members of a team that helps them make sense of their tasks. ",,,articles/smm.png
articles,https://www.researchgate.net/publication/371504265_Analyzing_Dorian_Twitter_Data_to_Understand_How_Hurricane_Risk_Assessments_Change_as_Threats_Unfold,Analyzing Dorian Twitter Data to Understand How Hurricane Risk Assessments Change as Threats Unfold,,,"The results showed that professional accounts are more likely to post original content than share, among which most of the organizational accounts (including forecasters, emergency managements, and news outlets) post in regular intervals with a fixed message format and a neutral opinion while professional individual accounts (e.g. meteorologist, broadcasters) post with no  observable temporal regulation,  variable forms, and  sentiments. However,  the forecaster accounts  are less engaged than  the mediator accounts  (i.e. news outlets and professional individual account holders). The study also revealed that under the hurricane risk context, those willing to share information rely more on post timing and expertise of post creators, rather than message type and sentiment.",,,articles/dorian.png
articles,https://www.researchgate.net/publication/365501317_Design_guidelines_for_hurricane_risk_forecast_to_non-expert_users,Design guidelines for hurricane risk forecast to non-expert users,,,"Hurricane forecast graphics, such as the cone of uncertainty and the hurricane threat impacts graphics, are provided to assist the general public in assessing their risk and in making protective action decisions for an approaching storm. Many researchers have demonstrated that hurricane forecast graphics are often misinterpreted by the general public. Few studies, however, have investigated the impact of design elements of these graphics on interpretations of hurricane risk communication for non-expert users. This study provides design guidelines for improving hurricane risks forecast products based on a literature review.",,,articles/hurri.png
articles,https://www.researchgate.net/publication/356168022_Design_Guidelines_for_Immersive_Dashboards,Design Guidelines for Immersive Dashboards,,,"Immersive dashboards facilitate the presentation of large-scale complex data while offering natural interaction and real-time interactivity supporting immediate use. Few studies, however, have investigated the use of immersive dashboards to improve the visualization and analysis of abstract data. This study provides a systematic review of the literature on designing immersive dashboards for abstract data visualization and analytics. Twenty publications met the inclusion criteria. This review identifies guidelines for improving immersive dashboard design.",,,articles/immersive.jpg
articles,https://docs.google.com/document/d/1LScgWtZt8I9oVTjmpgtJWQ8n9ieFTTr2fkpTQR19-SU/edit?usp=sharing,Design suggestions of the hurricane threat impact graphics (summary of an investigation),,,Lorem ipsum dolor sit amet,,,articles/hit.png
articles,https://osf.io/preprints/osf/62swr,Unfolding the Decision-Making Dynamics of News Visualization Production in China,,,"A grounded analysis drawing on 15 in-depth interviews with professionals reveals the dynamics of source selection, interpretation, and presentation in news visualization production. It also shows that news visualization stories result from the debating and tradeoffs between the ""western norms"" and the organization's expectations, audiences' preferences, news commercialization, and macro environment in China.",,,articles/cndatanews.jpg
articles,https://kawan.kontinentalist.com/meet-the-community-catherine-ma-communications-phd-student-at-university-of-miami/,Data journalism in China (Interviewed by Kontinentalist),,,Lorem ipsum dolor sit amet,,,articles/katiinter.png
something,,Lorem ipsum dolor sit amet,something/flowers.png,,,,,
something,,Lorem ipsum dolor sit amet,something/garden.png,,,,,
something,,Lorem ipsum dolor sit amet,something/dx.mp4,,,,,
something,,Lorem ipsum dolor sit amet,something/night.png,,,,,
something,,Lorem ipsum dolor sit amet,something/product.png,,,,,
something,,Lorem ipsum dolor sit amet,something/yz.mp4,,,,,
something,,Lorem ipsum dolor sit amet,something/scene.png,,,,,
something,,Lorem ipsum dolor sit amet,something/window.png,,,,,
something,,Lorem ipsum dolor sit amet,something/always.mp4,,,,,
something,,Lorem ipsum dolor sit amet,something/biscbay.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/bmw.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/afm.mp4,,,,,
something,,Lorem ipsum dolor sit amet,something/cats.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/flw1.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/hy.mp4,,,,,
something,,Lorem ipsum dolor sit amet,something/flw2.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/ry.mp4,,,,,
something,,Lorem ipsum dolor sit amet,something/flw3.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/dnhb.mp4,,,,,
something,,Lorem ipsum dolor sit amet,something/lake.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/lindraw.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/wy.mp4,,,,,
something,,Lorem ipsum dolor sit amet,something/nms.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/xbn.mp4,,,,,
something,,Lorem ipsum dolor sit amet,something/park.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/pathway.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/redroadcenter.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/snydxhh.mp4,,,,,
something,,Lorem ipsum dolor sit amet,something/sdlr.jpg,,,,,
something,,Lorem ipsum dolor sit amet,something/tree.jpg,,,,,
